1,2,0,1,2,3,4,5,6,7,8,9,10,11
215,0,0.0,1.0,0.5,0.5,0.5,0.5,0.5625,0.4375,0.5625,0.4375,0.484375,0.515625
482,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.1875,0.75,0.25
801,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.90625,0.09375,0.84375,0.15625
427,0,1.0,0.0,0.5,0.5,0.375,0.625,0.5,0.5,0.625,0.375,0.609375,0.390625
89,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46875,0.53125,0.515625,0.484375
100,0,1.0,0.0,0.5,0.5,0.625,0.375,0.5,0.5,0.4375,0.5625,0.484375,0.515625
274,0,1.0,0.0,0.5,0.5,0.375,0.625,0.6875,0.3125,0.5625,0.4375,0.46875,0.53125
1032,0,1.0,0.0,0.75,0.25,0.375,0.625,0.5625,0.4375,0.59375,0.40625,0.640625,0.359375
511,0,1.0,0.0,0.75,0.25,0.625,0.375,0.6875,0.3125,0.59375,0.40625,0.515625,0.484375
81,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.4375,0.609375,0.390625
555,0,0.5,0.5,0.75,0.25,0.75,0.25,0.6875,0.3125,0.5625,0.4375,0.515625,0.484375
917,0,0.0,1.0,0.5,0.5,0.5,0.5,0.4375,0.5625,0.5,0.5,0.484375,0.515625
238,0,0.5,0.5,0.75,0.25,0.625,0.375,0.625,0.375,0.625,0.375,0.640625,0.359375
550,0,0.0,1.0,0.0,1.0,0.125,0.875,0.375,0.625,0.46875,0.53125,0.421875,0.578125
475,0,1.0,0.0,0.5,0.5,0.625,0.375,0.5,0.5,0.46875,0.53125,0.5,0.5
1416,0,1.0,0.0,0.75,0.25,0.625,0.375,0.5625,0.4375,0.5625,0.4375,0.640625,0.359375
33,0,1.0,0.0,0.75,0.25,0.625,0.375,0.5,0.5,0.53125,0.46875,0.5625,0.4375
174,0,1.0,0.0,0.75,0.25,0.375,0.625,0.4375,0.5625,0.46875,0.53125,0.5,0.5
881,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.4375,0.625,0.375,0.625,0.375
254,0,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.375,0.625,0.375,0.53125,0.46875
1949,0,1.0,0.0,0.5,0.5,0.75,0.25,0.6875,0.3125,0.625,0.375,0.546875,0.453125
1815,0,0.0,1.0,0.25,0.75,0.5,0.5,0.625,0.375,0.625,0.375,0.53125,0.46875
375,0,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.625,0.46875,0.53125,0.375,0.625
519,0,1.0,0.0,1.0,0.0,0.875,0.125,0.8125,0.1875,0.75,0.25,0.6875,0.3125
3226,0,1.0,0.0,0.75,0.25,0.625,0.375,0.75,0.25,0.6875,0.3125,0.6875,0.3125
72,0,0.5,0.5,0.25,0.75,0.125,0.875,0.375,0.625,0.375,0.625,0.5,0.5
440,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.59375,0.40625,0.609375,0.390625
139,0,1.0,0.0,0.75,0.25,0.75,0.25,0.625,0.375,0.5,0.5,0.609375,0.390625
100,0,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.515625,0.484375
830,0,0.5,0.5,0.75,0.25,0.75,0.25,0.6875,0.3125,0.71875,0.28125,0.703125,0.296875
269,0,0.5,0.5,0.25,0.75,0.375,0.625,0.5,0.5,0.5,0.5,0.5625,0.4375
1772,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.546875,0.453125
147,0,0.0,1.0,0.25,0.75,0.375,0.625,0.5,0.5,0.5,0.5,0.484375,0.515625
233,0,1.0,0.0,0.75,0.25,0.625,0.375,0.4375,0.5625,0.4375,0.5625,0.5,0.5
758,0,0.0,1.0,0.25,0.75,0.625,0.375,0.625,0.375,0.53125,0.46875,0.546875,0.453125
104,0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.53125,0.46875,0.46875,0.53125
2863,0,0.5,0.5,0.5,0.5,0.625,0.375,0.5,0.5,0.375,0.625,0.453125,0.546875
866,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9375,0.0625,0.90625,0.09375
316,0,1.0,0.0,0.75,0.25,0.75,0.25,0.625,0.375,0.53125,0.46875,0.5,0.5
885,0,1.0,0.0,0.75,0.25,0.75,0.25,0.625,0.375,0.6875,0.3125,0.640625,0.359375
1246,0,0.5,0.5,0.75,0.25,0.625,0.375,0.6875,0.3125,0.75,0.25,0.734375,0.265625
